update,transitions,high_reward_mean,high_reward_sum,duration_mean,detected_targets_mean,visited_targets_mean,retired_agents_mean,success_rate,entropy_reduction_mean,actor_explore_actions,actor_target_actions,actor_invalid_actions,actor_nonfinite_logits,actor_valid_target_actions,policy_loss,value_loss,entropy,approx_kl,clip_fraction
1,1398,0.7525584101676941,1052.07666015625,11.943490982055664,2.46875,0.953125,0.953125,0.03125,3076.90625,1314,84,0,0,84,-0.014112512581050396,24.229814529418945,1.6658519506454468,0.007830380462110043,0.07387842983007431
2,1267,0.9444255232810974,1196.587158203125,12.374112129211426,2.296875,1.203125,1.203125,0.0,2895.168701171875,1171,96,0,0,96,-0.006665663793683052,22.585813522338867,1.597827434539795,0.02618751861155033,0.1990332156419754
3,1206,1.1319493055343628,1365.130859375,12.705638885498047,2.046875,1.328125,1.328125,0.046875,2819.312255859375,1110,96,0,0,96,0.01625894196331501,29.67449951171875,1.623294472694397,0.003134584054350853,0.03894266486167908
4,1172,1.307739019393921,1532.670166015625,12.261092185974121,2.25,1.484375,1.484375,0.015625,2743.22900390625,1066,106,0,0,106,-0.012231414206326008,31.304960250854492,1.5289181470870972,0.020820623263716698,0.1658528745174408
5,1055,1.7842124700546265,1882.3441162109375,12.408531188964844,2.125,1.75,1.75,0.09375,2517.924072265625,937,118,0,0,118,0.0834232047200203,40.89617156982422,1.5860704183578491,0.004553722683340311,0.07716944068670273
6,1116,1.5653010606765747,1746.8759765625,12.226702690124512,2.140625,1.65625,1.65625,0.0625,2545.626708984375,999,117,0,0,117,-0.013579712249338627,38.27402877807617,1.5353703498840332,0.0049002268351614475,0.0990574061870575
7,994,1.834032654762268,1823.028564453125,12.569416046142578,2.078125,1.71875,1.71875,0.0625,2397.32470703125,875,119,0,0,119,-0.0012766578001901507,42.80465316772461,1.5225056409835815,0.00017646895139478147,0.0
8,1094,1.590065360069275,1739.531494140625,12.604205131530762,2.0,1.640625,1.640625,0.078125,2579.765625,980,114,0,0,114,-0.00975776556879282,40.993953704833984,1.502556324005127,0.00193876214325428,0.02611607126891613
9,1023,1.6993352174758911,1738.419921875,12.776148796081543,2.046875,1.6875,1.6875,0.015625,2469.78662109375,907,116,0,0,116,-0.0022238236851990223,37.98058319091797,1.467394232749939,0.0007852790877223015,0.011734038591384888
10,1016,1.786005973815918,1814.58203125,12.400590896606445,2.015625,1.734375,1.734375,0.0625,2426.146240234375,900,116,0,0,116,-0.0017052735202014446,41.919281005859375,1.4659912586212158,0.0001854839938459918,0.0019686259329319
11,1052,1.7392479181289673,1829.6888427734375,12.222433090209961,2.03125,1.703125,1.703125,0.078125,2483.796875,935,117,0,0,117,-0.014238459058105946,46.42621994018555,1.4500287771224976,0.0005717587773688138,0.006556919310241938
12,1032,1.7516441345214844,1807.69677734375,12.274225234985352,2.0,1.734375,1.734375,0.046875,2432.1142578125,914,118,0,0,118,0.012372109107673168,41.98783874511719,1.4327340126037598,0.0006673683528788388,0.0021158854942768812
13,1005,1.903099775314331,1912.615234375,12.257711410522461,2.0,1.78125,1.78125,0.09375,2375.7958984375,889,116,0,0,116,-0.002487033372744918,46.996849060058594,1.4156931638717651,0.0002469343598932028,0.0007606490980833769
